Date,Demand,Temperature
1/1/2014 0:00,3.794,18.05
1/1/2014 1:00,3.418,17.2
1/1/2014 2:00,3.152,16.45
1/1/2014 3:00,3.026,16.65
1/1/2014 4:00,3.022,16.4
1/1/2014 5:00,3.055,17.95
1/1/2014 6:00,3.18,19.7
1/1/2014 7:00,3.276,20.6
1/1/2014 8:00,3.467,22.35
1/1/2014 9:00,3.62,23.7
1/1/2014 10:00,3.73,24.8
1/1/2014 11:00,3.858,25.9
1/1/2014 12:00,3.851,25.3
1/1/2014 13:00,3.839,23.65
1/1/2014 14:00,3.861,20.7
1/1/2014 15:00,3.912,19.15
1/1/2014 16:00,4.082,22.65
1/1/2014 17:00,4.118,22.65
1/1/2014 18:00,4.011,22.4
1/1/2014 19:00,3.965,22.15
1/1/2014 20:00,3.932,22.05
1/1/2014 21:00,3.693,22.15
1/1/2014 22:00,3.585,21
1/1/2014 23:00,4.001,19.5
1/2/2014 0:00,3.623,18.45
1/2/2014 1:00,3.249,17.25
1/2/2014 2:00,3.047,16.3
1/2/2014 3:00,3.004,15.7
1/2/2014 4:00,3.104,15.5
1/2/2014 5:00,3.361,15.45
1/2/2014 6:00,3.749,15.65
1/2/2014 7:00,3.91,16.5
1/2/2014 8:00,4.075,18.1
1/2/2014 9:00,4.165,17.8
1/2/2014 10:00,4.202,19.1
1/2/2014 11:00,4.225,19.85
1/2/2014 12:00,4.265,20.3
1/2/2014 13:00,4.301,21.05
1/2/2014 14:00,4.381,22.8
1/2/2014 15:00,4.484,21.65
1/2/2014 16:00,4.552,20.15
1/2/2014 17:00,4.44,19.3
1/2/2014 18:00,4.233,18.75
1/2/2014 19:00,4.145,17.9
1/2/2014 20:00,4.116,17.35
1/2/2014 21:00,3.831,16.85
1/2/2014 22:00,3.712,16.35
1/2/2014 23:00,4.121,15.7
1/3/2014 0:00,3.764,14.95
1/3/2014 1:00,3.394,14.5
1/3/2014 2:00,3.159,14.35
1/3/2014 3:00,3.081,14.45
1/3/2014 4:00,3.216,14.6
